Year,Mo,Da,Ho,Mi,Se,LatDef,LonDef,DepDef,MwDef,ErMwDef,MainShock
1298,11,30,nan,nan,nan,42.402,12.86,nan,4.4,0.46,1
1298,12,1,nan,nan,nan,42.575,12.902,nan,6.26,0.46,1
1315,12,3,nan,nan,nan,42.351,13.399,nan,5.56,0.46,1
1328,12,1,nan,nan,nan,42.857,13.018,nan,6.49,0.28,1
1349,9,9,nan,nan,nan,42.27,13.118,nan,6.27,0.14,1
1398,4,3,nan,nan,nan,42.351,13.399,nan,4.63,0.46,1
1423,11,10,nan,nan,nan,42.351,13.399,nan,4.16,0.46,1
1461,11,27,nan,nan,nan,42.308,13.543,nan,6.5,0.46,1
1462,1,3,20,25,nan,42.351,13.399,nan,4.16,0.46,0
1462,1,4,22,25,nan,42.351,13.399,nan,4.16,0.46,0
1462,3,27,2,nan,nan,42.351,13.399,nan,4.16,0.46,0
1466,12,20,11,nan,nan,42.351,13.399,nan,4.16,0.46,1
1498,4,10,nan,nan,nan,42.351,13.399,nan,4.4,0.46,1
1502,3,10,nan,nan,nan,42.386,12.949,nan,5.1,0.46,1
1519,nan,nan,nan,nan,nan,42.386,12.949,nan,4.63,0.46,1
1557,4,23,21,nan,nan,42.351,13.399,nan,4.16,0.46,1
1567,nan,nan,nan,nan,nan,42.793,13.094,nan,4.86,0.46,1
1579,nan,nan,nan,nan,nan,41.808,13.789,nan,4.4,0.46,1
1599,11,6,1,25,nan,42.724,13.021,nan,6.07,0.24,1
1619,7,7,22,nan,nan,42.526,13.296,nan,5.33,0.46,1
1627,7,nan,nan,nan,nan,42.694,13.248,nan,5.33,0.46,1
1639,10,7,nan,nan,nan,42.639,13.261,nan,6.21,0.15,1
1646,4,28,7,nan,nan,42.615,13.247,nan,5.9,0.39,1
1646,6,19,3,nan,nan,42.351,13.399,nan,4.86,0.46,0
1672,6,8,17,30,nan,42.569,13.302,nan,5.33,0.46,1
1689,7,21,9,nan,nan,42.415,13.076,nan,4.16,0.46,1
1689,7,21,11,nan,nan,42.415,13.076,nan,5.1,0.46,1
1702,10,18,nan,nan,nan,42.755,13.053,nan,4.16,0.46,1
1703,1,14,18,nan,nan,42.708,13.071,nan,6.92,0.1,1
1703,2,2,11,5,nan,42.434,13.292,nan,6.67,0.11,0
1703,6,29,18,nan,nan,42.749,12.948,nan,4.4,0.46,0
1704,5,20,nan,nan,nan,42.793,13.094,nan,4.16,0.46,0
1706,11,3,13,nan,nan,42.076,14.08,nan,6.84,0.1,1
1716,10,4,nan,nan,nan,42.718,13.013,nan,4.86,0.46,1
1719,6,27,6,30,nan,42.876,13.047,nan,5.59,0.26,1
1730,5,12,5,nan,nan,42.753,13.12,nan,6.04,0.1,1
1742,nan,nan,nan,nan,nan,42.084,13.546,nan,4.4,0.46,1
1742,4,nan,nan,nan,nan,42.084,13.546,nan,4.16,0.46,1
1742,5,nan,nan,nan,nan,42.084,13.546,nan,4.16,0.46,0
1743,nan,nan,nan,nan,nan,42.046,13.454,nan,4.4,0.46,1
1750,2,1,nan,nan,nan,42.351,13.399,nan,4.86,0.46,1
1762,10,6,nan,nan,nan,42.308,13.585,nan,5.54,0.42,1
1771,1,nan,nan,nan,nan,41.718,13.613,nan,5.1,0.46,1
1778,1,24,7,45,nan,42.153,13.534,nan,4.86,0.46,1
1785,10,9,3,15,nan,42.536,12.788,nan,5.76,0.18,1
1786,7,31,nan,nan,nan,42.351,13.399,nan,4.89,0.31,1
1791,1,nan,nan,nan,nan,42.351,13.399,nan,5.33,0.46,1
1803,4,7,nan,nan,nan,42.505,13.551,nan,3.93,0.46,1
1809,8,14,11,nan,nan,42.351,13.399,nan,4.63,0.46,1
1815,9,3,23,nan,nan,42.832,13.015,nan,5.58,0.22,1
1821,3,22,nan,nan,nan,42.402,12.86,nan,5.1,0.46,1
1832,11,14,11,nan,nan,42.955,13.108,nan,4.76,0.58,0
1832,11,21,21,nan,nan,42.951,13.12,nan,4.78,0.49,0
1832,12,4,19,nan,nan,43.005,13.07,nan,5.35,0.44,0
1841,6,10,nan,nan,nan,42.082,14.08,nan,4.96,0.48,1
1848,6,9,23,15,nan,42.351,13.399,nan,4.16,0.46,1
1848,12,nan,nan,nan,nan,42.351,13.399,nan,4.63,0.46,1
1850,11,11,9,nan,nan,42.282,13.592,nan,4.63,0.46,1
1850,12,30,5,30,nan,42.048,13.514,nan,4.86,0.46,1
1859,8,22,nan,nan,nan,42.825,13.097,nan,5.73,0.29,1
1873,7,12,6,6,nan,41.686,13.778,nan,5.38,0.16,1
1874,2,24,6,52,nan,42.333,13.777,nan,5.12,0.24,1
1874,12,6,15,50,nan,41.655,13.827,nan,5.48,0.22,1
1876,10,8,19,nan,nan,41.689,13.743,nan,4.16,0.46,1
1878,2,13,19,30,nan,42.718,13.013,nan,4.22,0.42,1
1879,2,23,18,30,nan,42.766,13.043,nan,5.59,0.32,1
1882,5,26,4,15,nan,42.727,12.875,nan,4.45,0.26,1
1883,11,7,3,nan,nan,42.671,13.255,nan,5.1,0.46,1
1884,8,15,nan,nan,nan,42.93,13.088,nan,4.16,0.46,1
1885,6,17,22,34,nan,42.521,12.844,nan,4.9,0.47,1
1887,1,27,2,45,nan,42.343,13.433,nan,4.17,0.3,1
1887,4,15,2,50,nan,41.995,13.482,nan,3.93,0.46,1
1891,5,9,0,16,nan,41.804,13.486,nan,4.42,0.25,1
1892,1,21,20,15,nan,42.231,13.11,nan,4.4,0.33,1
1893,8,2,0,59,nan,42.608,13.002,nan,4.55,0.17,1
1895,6,30,3,48,50,42.32,13.541,nan,3.93,0.46,1
1897,1,19,19,20,nan,42.725,12.936,nan,4.68,0.46,1
1898,6,27,23,38,nan,42.414,12.903,nan,5.5,0.1,1
1898,8,25,16,37,46,42.895,12.994,nan,5.03,0.37,1
1899,2,7,12,35,30,42.996,13.106,nan,4.04,0.3,0
1899,4,21,0,57,55,42.8,12.928,nan,3.96,0.37,0
1900,12,29,0,7,57,41.744,13.575,nan,4.06,0.33,1
1901,7,31,10,38,30,41.719,13.75,nan,5.16,0.13,1
1903,5,26,21,7,nan,42.402,12.86,nan,3.93,0.46,1
1903,11,2,21,52,nan,42.794,13.074,nan,4.81,0.21,1
1904,2,24,15,53,26,42.097,13.316,nan,5.68,0.12,1
1904,2,25,0,29,13,42.076,13.319,nan,4.56,0.34,0
1904,3,3,18,55,44,42.032,13.426,nan,4.32,0.34,0
1904,3,10,4,21,36,42.092,13.363,nan,4.16,0.46,0
1904,3,20,5,50,4,42.078,13.352,nan,3.93,0.46,0
1904,3,20,7,50,nan,42.064,13.342,nan,4.4,0.46,0
1904,3,29,8,30,nan,42.092,13.363,nan,4.4,0.46,0
1904,11,2,15,32,5,41.932,13.918,nan,4.54,0.3,1
1905,8,25,20,41,nan,42.019,14.026,nan,5.15,0.2,1
1906,1,29,15,5,nan,42.607,13.423,nan,4.28,0.34,1
1906,7,1,0,50,nan,42.384,13.141,nan,4.29,0.27,1
1907,7,10,3,nan,nan,41.889,14.065,nan,3.93,0.46,1
1907,10,7,14,22,nan,41.685,13.655,nan,4.2,0.47,1
1907,12,22,5,59,nan,41.88,14.066,nan,4.16,0.46,1
1908,1,16,10,27,nan,42.338,13.368,nan,4.12,0.4,1
1908,6,5,2,58,nan,41.889,14.065,nan,3.93,0.46,1
1908,10,6,22,nan,nan,41.659,13.752,nan,4.57,0.61,1
1909,3,16,15,53,nan,42.442,13.393,nan,4.03,0.39,1
1910,2,22,15,35,nan,42.092,13.363,nan,4.16,0.46,1
1910,3,6,22,22,nan,42.63,13.105,nan,3.93,0.46,1
1910,6,29,13,52,nan,42.742,12.929,nan,4.93,0.28,1
1910,12,22,12,34,nan,42.708,13.281,nan,4.3,0.41,1
1910,12,22,17,18,nan,42.68,13.184,nan,3.93,0.46,0
1910,12,26,16,30,nan,42.68,13.184,nan,4.56,0.27,1
1911,5,28,13,52,nan,42.376,13.405,nan,4.16,0.46,1
1911,9,9,11,32,nan,42.31,13.57,nan,4.36,0.45,1
1912,7,7,4,45,nan,41.688,13.636,nan,4.18,0.35,1
1913,1,3,13,39,25,41.868,13.657,nan,4.53,0.21,1
1914,4,14,2,49,nan,42.022,13.578,nan,4.26,0.26,1
1915,1,13,6,52,43,42.014,13.53,nan,7.08,0.08,1
1915,1,13,16,44,nan,41.983,13.6,nan,4.79,0.23,0
1915,1,13,20,19,nan,41.983,13.6,nan,4.74,0.23,0
1915,1,14,1,50,nan,41.983,13.6,nan,4.64,0.18,0
1915,1,18,20,8,nan,41.983,13.6,nan,4.98,0.14,0
1915,1,18,23,31,nan,41.983,13.6,nan,5.02,0.15,0
1915,6,20,14,21,52,41.708,13.596,nan,4.16,0.46,0
1915,9,16,2,58,48,42.718,13.013,nan,3.93,0.46,1
1915,9,23,18,7,nan,42.415,13.076,nan,5.07,0.13,0
1915,12,4,1,2,nan,41.754,13.548,nan,4.47,0.24,0
1916,4,22,4,33,nan,42.292,13.397,nan,5.09,0.12,0
1916,7,4,5,6,nan,42.824,13.227,nan,4.82,0.12,1
1916,11,16,6,35,nan,42.646,13.169,nan,5.5,0.13,1
1917,6,16,20,36,nan,41.692,13.685,nan,4.39,0.42,0
1919,4,20,6,32,nan,42.065,13.668,nan,4.11,0.36,1
1920,1,13,10,35,45,42.29,13.301,nan,3.93,0.46,1
1922,12,29,12,22,6,41.793,13.632,nan,5.24,0.08,1
1923,5,13,14,30,59,42.21,13.22,nan,4.33,0.31,1
1924,9,15,2,30,nan,42.517,12.841,nan,3.66,0.29,1
1924,11,28,9,11,nan,41.808,13.56,nan,4.4,0.46,1
1926,12,18,21,7,20,42.021,13.541,nan,4.24,0.28,1
1927,8,16,0,53,nan,42.899,13.074,nan,4.57,0.33,1
1927,10,11,14,45,8,41.841,13.466,nan,5.2,0.09,1
1929,1,14,4,1,nan,41.848,13.501,nan,4.42,0.16,1
1930,4,7,17,17,18,42.812,13.196,nan,4.5,0.21,1
1930,10,7,9,18,29,42.798,13.026,nan,3.93,0.46,1
1931,9,25,20,28,14,42.718,13.013,nan,4.63,0.46,1
1933,9,26,3,33,29,42.079,14.093,nan,5.9,0.07,1
1938,8,12,2,28,33,42.371,13.063,nan,4.56,0.22,1
1941,12,19,nan,nan,nan,42.758,13.283,nan,5.02,0.29,1
1943,1,16,nan,nan,nan,42.795,13.267,nan,5.04,0.27,1
1943,1,29,nan,nan,nan,42.718,13.292,nan,4.94,0.2,0
1948,12,17,21,18,2,42.585,12.844,nan,4.4,0.46,1
1948,12,31,3,32,nan,42.507,12.853,nan,5.42,0.13,1
1949,1,4,20,55,nan,42.511,12.848,nan,4.65,0.49,0
1949,1,14,16,nan,nan,42.527,12.832,nan,4.16,0.46,0
1949,6,3,8,8,nan,42.515,12.856,nan,4.16,0.46,0
1949,10,27,19,8,nan,42.532,12.805,nan,4.98,0.61,1
1950,3,7,4,5,49,42.633,13.3,nan,4.74,0.23,1
1950,3,12,18,15,nan,42.694,13.248,nan,4.16,0.46,0
1950,9,5,4,8,nan,42.547,13.457,nan,5.69,0.08,1
1951,8,2,12,50,56,42.7,13.2,nan,4.44,0.22,0
1951,8,8,19,56,nan,42.466,13.461,nan,5.25,0.08,0
1956,10,7,19,12,41,42.444,13.292,nan,4.46,0.5,1
1957,3,12,16,20,nan,42.7,13.008,nan,4.16,0.14,1
1957,4,11,16,19,nan,42.256,13.079,nan,4.94,0.17,1
1958,5,8,0,13,23,42.729,12.981,nan,4.25,0.6,1
1958,6,24,6,7,nan,42.317,13.498,nan,5.04,0.07,1
1960,3,14,4,44,nan,42.037,13.267,nan,4.72,0.27,1
1960,3,16,1,52,48,42.613,13.322,nan,4.44,0.16,1
1961,4,6,11,34,42,41.986,13.378,nan,4.55,0.5,1
1961,10,31,13,37,nan,42.407,13.064,nan,5.09,0.11,1
1962,6,25,16,35,50,42.833,13.05,nan,4.07,0.25,1
1962,8,30,12,10,nan,42.734,12.989,nan,5.02,0.24,1
1962,12,14,13,35,nan,41.689,13.743,nan,4.4,0.46,1
1963,2,2,19,34,nan,42.397,13.038,nan,4.64,0.46,0
1963,5,19,22,45,nan,42.786,13.035,nan,4.74,0.45,0
1963,7,21,11,9,nan,42.622,13.323,nan,4.71,0.16,1
1964,8,2,10,40,nan,42.835,13.036,nan,4.53,0.21,1
1965,5,31,11,15,35,42.7,13,nan,4.57,0.47,1
1965,11,12,7,16,56,42.1,13.5,nan,4.39,0.27,1
1967,12,3,19,49,46,42.4,13.2,59,4.46,0.29,1
1967,12,3,21,29,59,42.312,13.512,nan,4.37,0.14,0
1971,4,2,1,43,54,42.746,13.054,nan,4.5,0.13,1
1971,10,4,16,43,32.6,42.816,13.058,33,4.51,0.19,1
1973,10,30,1,14,3.05,41.697,13.867,nan,4.21,0.17,1
1974,12,2,1,55,15,42.813,12.927,nan,4.58,0.13,1
1979,1,25,23,53,1,42.919,13.083,nan,4.44,0.18,1
1979,9,19,21,35,37,42.73,12.956,nan,5.83,0.1,1
1979,9,19,21,52,50.5,42.812,13.012,2.3,4.46,0.34,0
1979,9,21,0,52,44,42.733,13.033,nan,4.15,0.23,0
1980,2,28,21,4,40,42.8,12.967,nan,4.97,0.1,0
1980,3,1,1,26,50.39,42.878,12.972,10,4.28,0.21,0
1980,3,16,1,4,27.34,42.813,13.029,14,4.35,0.21,0
1980,5,14,9,1,15,42.812,13.013,19,4.27,0.23,0
1980,6,9,16,2,47,42.173,13.713,nan,4.64,0.1,1
1980,6,14,20,56,50,41.905,13.696,nan,4.96,0.1,1
1980,6,16,14,45,nan,41.844,13.922,nan,4.44,0.1,0
1984,5,7,18,7,15.88,41.644,13.863,9.3,4.47,0.14,0
1984,5,7,18,26,49.98,41.759,13.815,nan,4.22,0.16,0
1984,5,7,18,56,25.15,41.678,13.93,4.7,3.87,0.27,0
1984,5,7,19,11,13.18,41.678,13.931,0.1,3.2,0.27,0
1984,5,8,3,46,38.65,41.671,13.82,2.3,4.33,0.21,0
1984,5,11,10,41,49.27,41.651,13.843,10,5.47,0.1,0
1984,5,11,10,50,7,41.756,13.903,19.6,4.79,0.19,0
1984,5,11,11,26,15.05,41.706,13.876,12.7,4.49,0.13,0
1984,5,11,13,14,55.87,41.732,13.901,11.3,4.8,0.1,0
1984,5,11,13,39,2.24,41.732,13.898,18,4.5,0.17,0
1984,5,11,16,39,18.06,41.648,13.87,9.9,4.62,0.13,0
1984,5,12,0,8,43.43,41.727,13.887,10.2,4.15,0.15,0
1984,5,12,4,56,25.92,41.67,13.869,10,4.05,0.14,0
1984,5,13,11,21,45.75,41.746,13.878,9.9,4.16,0.16,0
1984,5,14,14,35,24.47,41.68,13.821,10,4.27,0.18,0
1984,6,24,22,2,44.47,41.761,13.828,12.1,4.57,0.11,0
1984,7,1,7,47,12.54,41.704,13.915,11.3,4.63,0.1,0
1984,12,3,18,5,34.34,41.717,13.898,16.4,4.05,0.13,0
1985,5,19,14,40,27.04,42.252,13.342,5.4,4.16,0.15,1
1985,5,20,10,0,28.35,42.297,13.353,0.1,4.51,0.11,1
1985,5,23,1,4,16.81,42.33,13.399,7.8,4.11,0.13,0
1986,10,13,5,10,0.31,42.924,13.186,5.4,4.46,0.09,1
1989,9,14,18,17,5.74,42.286,13.616,3.5,3.47,0.19,1
1989,11,19,3,40,22.54,42.859,12.978,0.6,4.13,0.16,1
1991,5,5,6,33,35.68,42.241,13.66,8.4,3.86,0.17,1
1992,8,25,2,25,48.38,42.411,13.355,13.3,4.11,0.14,1
1992,10,24,18,44,48.6,42.618,13.251,0.1,4.08,0.13,1
1994,1,5,8,49,28.4,42.577,13.244,0.1,3.47,0.18,1
1994,6,2,16,41,23.61,42.463,13.221,3.8,3.99,0.1,1
1994,6,2,17,38,13.82,42.476,13.226,0.1,4.21,0.13,1
1994,8,5,22,1,23.47,41.959,13.331,3.2,4.15,0.11,1
1994,8,7,6,31,12.68,41.993,13.347,9.9,4.25,0.1,1
1996,10,20,19,6,55.57,42.559,13.263,9,4.36,0.1,1
1997,10,12,11,14,14.12,42.963,13.057,nan,4.16,0.19,0
1997,10,14,19,34,18.55,42.873,12.998,3.2,4.02,0.17,0
1997,10,16,17,31,44.42,42.87,13.012,1.5,4.26,0.07,0
1997,10,25,3,8,6.08,42.817,13.059,1.4,4.27,0.07,0
1997,11,8,15,31,53.71,42.863,12.974,0.2,4.61,0.12,0
1997,11,9,16,34,48.65,42.872,12.976,5,3.86,0.19,0
1997,11,9,19,7,33.27,42.846,12.988,1.5,4.87,0.07,0
1997,11,10,22,22,34.23,42.826,12.964,4.7,4,0.15,0
1997,11,30,11,24,42.43,42.842,12.99,3.4,4.34,0.07,0
1997,12,31,16,2,15.11,42.848,12.998,1.6,4.3,0.07,0
1998,2,16,13,45,19,42.845,13.014,4.6,3.75,0.15,0
1998,5,12,21,46,30.46,41.967,13.305,11.4,3.77,0.14,1
1998,8,15,5,18,8.89,42.362,13.056,2.9,4.42,0.07,1
1999,10,10,15,35,51.91,42.647,13.22,4.6,4.21,0.07,1
1999,11,29,3,20,33.86,42.834,13.174,6.5,4.15,0.09,0
2000,10,25,8,42,2.23,41.847,13.772,7.6,3.9,0.1,1
2000,11,15,21,33,23.18,42.441,13.284,8.6,3.22,0.17,1
2001,10,18,18,9,30.79,42.291,13.153,56.5,4.43,0.07,1
2007,3,29,4,37,29.89,42.829,13.202,4.4,4.08,0.13,1
2007,7,22,17,26,3.61,41.905,13.671,15.7,4.1,0.19,1
2007,10,21,3,55,36.43,42.401,12.963,8,4.19,0.07,1
2009,3,30,13,38,38.96,42.321,13.376,9.8,4.36,0.07,1
2009,4,5,20,48,54.49,42.325,13.382,9.5,4.14,0.07,0
2009,4,6,1,32,40.4,42.309,13.51,nan,6.29,0.07,1
2009,4,6,1,36,29.19,42.352,13.346,9.7,4.76,0.14,0
2009,4,6,1,40,50.65,42.417,13.402,11,4.21,0.19,0
2009,4,6,1,41,37.77,42.364,13.456,8.7,4.42,0.2,0
2009,4,6,1,41,32.69,42.377,13.319,8.5,4.1,0.19,0
2009,4,6,1,42,49.97,42.3,13.429,10.5,4.19,0.14,0
2009,4,6,2,27,46.33,42.366,13.319,8.3,4.04,0.12,0
2009,4,6,2,37,4.25,42.36,13.328,8.7,5.07,0.07,0
2009,4,6,3,56,45.7,42.335,13.386,9.3,4.53,0.07,0
2009,4,6,4,47,53.65,42.356,13.356,9.1,4.02,0.13,0
2009,4,6,7,17,10.14,42.356,13.383,9,4.25,0.07,0
2009,4,6,16,38,9.73,42.363,13.339,10,4.44,0.07,0
2009,4,6,23,15,36.76,42.463,13.385,9.7,5.09,0.07,0
2009,4,7,9,26,28.61,42.336,13.387,9.6,5.08,0.07,0
2009,4,7,17,47,37.34,42.303,13.486,17.1,5.54,0.07,0
2009,4,7,21,34,29.77,42.364,13.365,9.6,4.53,0.07,0
2009,4,8,4,27,41.21,42.29,13.462,9,4,0.07,0
2009,4,8,22,56,50.19,42.497,13.367,10.8,4.11,0.07,0
2009,4,9,0,52,59.69,42.489,13.351,11,5.39,0.07,0
2009,4,9,3,14,52.26,42.335,13.444,17.1,4.38,0.07,0
2009,4,9,4,32,45.05,42.445,13.434,9.8,4.3,0.07,0
2009,4,9,13,19,33.83,42.341,13.259,9.7,4,0.13,0
2009,4,9,19,38,16.96,42.504,13.35,9.3,5.21,0.07,0
2009,4,13,21,14,24.47,42.498,13.377,9,5.02,0.07,0
2009,4,14,13,56,21.21,42.542,13.32,9.9,4,0.13,0
2009,4,15,22,53,7.56,42.515,13.33,9.8,4.12,0.07,0
2009,4,23,15,14,8.31,42.247,13.484,10.3,4.11,0.07,0
2009,4,23,21,49,0.84,42.228,13.486,9.7,4.31,0.07,0
2009,6,22,20,58,40.27,42.445,13.354,13.8,4.68,0.07,0
2009,7,3,11,3,7.59,42.391,13.382,9.6,4.05,0.07,0
2009,7,12,8,38,51.37,42.328,13.379,10.1,4.35,0.07,0
2009,7,31,11,5,39.99,42.248,13.495,9.6,4.08,0.13,0
2009,8,6,15,36,44.44,41.648,13.669,15.7,4.23,0.13,1
2009,9,24,16,14,57.56,42.452,13.352,16.3,4.19,0.07,0
2010,8,31,7,12,52.44,42.516,13.226,10.4,4.12,0.07,0